model,cluster_id,cluster_family,n_outliers,n_cluster_related_in_outliers,n_cluster_related_in_universe,precision_outliers_vs_cluster,recall_cluster_in_universe_captured,cluster_related_outliers,cluster_related_in_universe_not_in_outliers
Writer/palmyra-mini,4,Qwen2.5-1.5B,33,10,13,0.30303,0.769231,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-1.5B | SakanaAI/TinySwallow-1.5B | unsloth/Qwen2.5-1.5B
XiaomiMiMo/MiMo-7B-Base,11,MiMo-7B-Base,2,2,2,1.0,1.0,Aurore-Reveil/Koto-Small-7B-IT | allura-org/Koto-Small-7B-PT,
abocide/Qwen2.5-7B-Instruct-R1-forfinance,1,Qwen2.5-7B,12,10,16,0.833333,0.625,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
acon96/Home-Llama-3.2-3B,6,Llama-3.2-3B-Instruct,25,5,5,0.2,1.0,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | beruniy/Llama-3.2-3B-Instruct-Uz | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,
adamo1139/Apertus-8B-Instruct-2509-ungated,22,Apertus-8B-2509,10,1,1,0.1,1.0,swiss-ai/Apertus-8B-2509,
aisingapore/Llama-SEA-LION-v3-8B,2,Llama-3.1-8B,26,12,14,0.461538,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
allenai/Llama-3.1-Tulu-3-8B-SFT,2,Llama-3.1-8B,19,13,14,0.684211,0.928571,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
allenai/OLMoE-1B-7B-0924,62,OLMoE-1B-7B-0924,4,0,0,0.0,,,
allenai/llama-3.1-tulu-2-8b,2,Llama-3.1-8B,25,12,14,0.48,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
allura-org/Koto-Small-7B-PT,11,MiMo-7B-Base,5,2,2,0.4,1.0,Aurore-Reveil/Koto-Small-7B-IT | XiaomiMiMo/MiMo-7B-Base,
arcee-ai/Llama-3.1-SuperNova-Lite,63,Llama-3.1-SuperNova-Lite,22,0,0,0.0,,,
arcee-ai/Meraj-Mini,1,Qwen2.5-7B,12,10,16,0.833333,0.625,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | abocide/Qwen2.5-7B-Instruct-R1-forfinance | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
argilla/distilabeled-Marcoro14-7B-slerp,3,AiMaven-Prometheus,31,13,13,0.419355,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
askfjhaskjgh/UbermenschetienASI,2,Llama-3.1-8B,26,13,14,0.5,0.928571,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
augmxnt/shisa-base-7b-v1,64,shisa-base-7b-v1,0,0,0,,,,
bardsai/jaskier-7b-dpo-v5.6,65,jaskier-7b-dpo-v5.6,36,0,0,0.0,,,
berkeley-nest/Starling-LM-7B-alpha,66,Starling-LM-7B-alpha,31,0,0,0.0,,,
beruniy/Llama-3.2-3B-Instruct-Uz,6,Llama-3.2-3B-Instruct,18,5,5,0.277778,1.0,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,
beyoru/Luna,67,Luna,10,0,0,0.0,,,
bigcode/starcoder2-3b,68,starcoder2-3b,0,0,0,,,,
bigscience/bloom-560m,69,bloom-560m,10,0,0,0.0,,,
bigscience/bloomz-1b1,70,bloomz-1b1,10,0,0,0.0,,,
bigscience/bloomz-1b7,71,bloomz-1b7,1,0,0,0.0,,,
bigscience/bloomz-560m,72,bloomz-560m,10,0,0,0.0,,,
bxod/Llama-3.2-1B-Instruct-uz,14,Llama-3.2-1B-Instruct,21,2,2,0.095238,1.0,meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct,
chatitcloud/UZI1,23,gemma-3-270m,11,1,1,0.090909,1.0,google/gemma-3-270m,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,2,Llama-3.1-8B,27,13,14,0.481481,0.928571,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
continuedev/instinct,1,Qwen2.5-7B,3,3,16,1.0,0.1875,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,1,Qwen2.5-7B,12,10,16,0.833333,0.625,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,73,DeepSeek-R1-Distill-Llama-8B,27,0,0,0.0,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,74,DeepSeek-R1-Distill-Qwen-1.5B,16,0,0,0.0,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,75,DeepSeek-R1-Distill-Qwen-7B,13,0,0,0.0,,,
deepseek-ai/deepseek-coder-1.3b-base,76,deepseek-coder-1.3b-base,0,0,0,,,,
dicta-il/dictalm2.0,77,dictalm2.0,31,0,0,0.0,,,
dnotitia/Smoothie-Qwen3-1.7B,8,Qwen3-1.7B-Base,4,3,4,0.75,0.75,Qwen/Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | janhq/Jan-v1-edge,Qwen/Qwen3-1.7B-Base
dphn/Dolphin3.0-Llama3.1-8B,2,Llama-3.1-8B,24,12,14,0.5,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
elyza/Llama-3-ELYZA-JP-8B,78,Llama-3-ELYZA-JP-8B,27,0,0,0.0,,,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,79,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,31,0,0,0.0,,,
fblgit/UNA-TheBeagle-7b-v1,3,AiMaven-Prometheus,31,13,13,0.419355,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
flemmingmiguel/MBX-7B-v3,3,AiMaven-Prometheus,31,13,13,0.419355,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
fluently/FluentlyQwen3-1.7B,8,Qwen3-1.7B-Base,7,3,4,0.428571,0.75,Qwen/Qwen3-1.7B | dnotitia/Smoothie-Qwen3-1.7B | janhq/Jan-v1-edge,Qwen/Qwen3-1.7B-Base
google/gemma-2-2b-it,9,gemma-2-2b,4,3,3,0.75,1.0,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0 | google/gemma-2-2b | google/gemma-2-2b-jpn-it,
google/gemma-2-2b-jpn-it,9,gemma-2-2b,3,2,3,0.666667,0.666667,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0 | google/gemma-2-2b-it,google/gemma-2-2b
google/gemma-2b-it,80,gemma-2b-it,3,0,0,0.0,,,
google/gemma-3-1b-it,24,gemma-3-1b-pt,0,0,1,,0.0,,google/gemma-3-1b-pt
google/gemma-3-1b-pt,24,gemma-3-1b-pt,11,0,1,0.0,0.0,,google/gemma-3-1b-it
google/gemma-3-270m,23,gemma-3-270m,11,1,1,0.090909,1.0,chatitcloud/UZI1,
google/gemma-3-4b-it,25,gemma-3-4b-pt,10,1,1,0.1,1.0,google/gemma-3-4b-pt,
google/gemma-3-4b-pt,25,gemma-3-4b-pt,10,1,1,0.1,1.0,google/gemma-3-4b-it,
gradientai/Llama-3-8B-Instruct-262k,81,Llama-3-8B-Instruct-262k,26,0,0,0.0,,,
huihui-ai/Huihui-Jan-v1-4B-abliterated,10,Qwen3-4B-Thinking-2507,9,3,3,0.333333,1.0,Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | janhq/Jan-v1-4B,
inference-net/Schematron-3B,6,Llama-3.2-3B-Instruct,20,5,5,0.25,1.0,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | beruniy/Llama-3.2-3B-Instruct-Uz | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,
janhq/Jan-v1-4B,10,Qwen3-4B-Thinking-2507,10,3,3,0.3,1.0,Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | huihui-ai/Huihui-Jan-v1-4B-abliterated,
janhq/Jan-v1-edge,8,Qwen3-1.7B-Base,16,3,4,0.1875,0.75,Qwen/Qwen3-1.7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B,Qwen/Qwen3-1.7B-Base
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,1,Qwen2.5-7B,20,12,16,0.6,0.75,DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
kevin009/llamaRAGdrama,82,llamaRAGdrama,32,0,0,0.0,,,
lmsys/vicuna-7b-v1.1,83,vicuna-7b-v1.1,11,0,0,0.0,,,
lmsys/vicuna-7b-v1.5,84,vicuna-7b-v1.5,11,0,0,0.0,,,
lmsys/vicuna-7b-v1.5-16k,85,vicuna-7b-v1.5-16k,38,0,0,0.0,,,
meta-llama/Llama-3.1-8B-Instruct,2,Llama-3.1-8B,22,12,14,0.545455,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
meta-llama/Llama-3.2-1B-Instruct,14,Llama-3.2-1B-Instruct,26,2,2,0.076923,1.0,bxod/Llama-3.2-1B-Instruct-uz | unsloth/Llama-3.2-1B-Instruct,
meta-llama/Llama-3.2-3B-Instruct,6,Llama-3.2-3B-Instruct,19,4,5,0.210526,0.8,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | unsloth/Llama-3.2-3B-Instruct,beruniy/Llama-3.2-3B-Instruct-Uz
meta-llama/Llama-Guard-3-8B,2,Llama-3.1-8B,26,13,14,0.5,0.928571,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
meta-llama/Llama-3.1-8B,2,Llama-3.1-8B,27,13,14,0.481481,0.928571,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
microsoft/UserLM-8b,2,Llama-3.1-8B,25,13,14,0.52,0.928571,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
mistralai/Mistral-7B-Instruct-v0.1,5,BioMistral-7B,31,6,6,0.193548,1.0,BioMistral/BioMistral-7B | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | mistralai/Mistral-7B-v0.1,
mistralai/Mistral-7B-v0.1,5,BioMistral-7B,31,6,6,0.193548,1.0,BioMistral/BioMistral-7B | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | mistralai/Mistral-7B-Instruct-v0.1,
mlabonne/Beagle14-7B,3,AiMaven-Prometheus,32,13,13,0.40625,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
mlabonne/Marcoro14-7B-slerp,3,AiMaven-Prometheus,31,13,13,0.419355,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
mlabonne/NeuralBeagle14-7B,3,AiMaven-Prometheus,32,13,13,0.40625,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
mlabonne/OmniBeagle-7B,3,AiMaven-Prometheus,31,13,13,0.419355,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
nvidia/Llama-3.1-8B-Instruct-FP8,2,Llama-3.1-8B,11,0,14,0.0,0.0,,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,1,Qwen2.5-7B,11,11,16,1.0,0.6875,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
nvidia/OpenCodeReasoning-Nemotron-7B,1,Qwen2.5-7B,13,11,16,0.846154,0.6875,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
nvidia/OpenMath-Nemotron-1.5B,4,Qwen2.5-1.5B,6,4,13,0.666667,0.307692,Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Writer/palmyra-mini | unsloth/Qwen2.5-Math-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
nvidia/OpenMath2-Llama3.1-8B,2,Llama-3.1-8B,24,12,14,0.5,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
nvidia/OpenReasoning-Nemotron-1.5B,4,Qwen2.5-1.5B,11,6,13,0.545455,0.461538,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
