model,outlier,overlap_score,graph_distance
dphn/Dolphin3.0-Llama3.1-8B,arcee-ai/Llama-3.1-SuperNova-Lite,0.1667,3.0
dphn/Dolphin3.0-Llama3.1-8B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.159,2.0
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.159,2.0
dphn/Dolphin3.0-Llama3.1-8B,unsloth/Meta-Llama-3.1-8B-Instruct,0.159,3.0
dphn/Dolphin3.0-Llama3.1-8B,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,0.1335,
dphn/Dolphin3.0-Llama3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,0.1333,2.0
inference-net/Schematron-3B,meta-llama/Llama-3.2-3B-Instruct,0.8228,1.0
inference-net/Schematron-3B,unsloth/Llama-3.2-3B-Instruct,0.8228,2.0
inference-net/Schematron-3B,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.7686,2.0
inference-net/Schematron-3B,acon96/Home-Llama-3.2-3B,0.7594,2.0
inference-net/Schematron-3B,arcee-ai/Llama-3.1-SuperNova-Lite,0.2576,13.0
inference-net/Schematron-3B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.2551,12.0
inference-net/Schematron-3B,meta-llama/Llama-3.1-8B-Instruct,0.2551,12.0
inference-net/Schematron-3B,unsloth/Meta-Llama-3.1-8B-Instruct,0.2551,13.0
inference-net/Schematron-3B,meta-llama/Llama-3.2-1B-Instruct,0.224,11.0
inference-net/Schematron-3B,unsloth/Llama-3.2-1B-Instruct,0.224,12.0
meta-llama/Llama-3.1-8B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,1.0,2.0
meta-llama/Llama-3.1-8B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,1.0,1.0
meta-llama/Llama-3.1-8B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,0.6326,1.0
meta-llama/Llama-3.1-8B-Instruct,aisingapore/Llama-SEA-LION-v3-8B,0.3237,1.0
meta-llama/Llama-3.1-8B-Instruct,microsoft/UserLM-8b,0.2547,2.0
meta-llama/Llama-3.1-8B-Instruct,allenai/Llama-3.1-Tulu-3-8B,0.2246,4.0
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,0.2226,1.0
meta-llama/Llama-3.1-8B-Instruct,unsloth/Llama-3.1-8B,0.2226,2.0
meta-llama/Llama-3.1-8B-Instruct,allenai/llama-3.1-tulu-2-8b,0.2133,2.0
meta-llama/Llama-3.1-8B-Instruct,NousResearch/Hermes-2-Pro-Llama-3-8B,0.2066,2.0
meta-llama/Llama-3.1-8B-Instruct,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.2005,2.0
meta-llama/Llama-3.1-8B-Instruct,allenai/Llama-3.1-Tulu-3-8B-SFT,0.1858,2.0
meta-llama/Llama-3.1-8B-Instruct,nvidia/OpenMath2-Llama3.1-8B,0.1396,2.0
meta-llama/Llama-3.1-8B-Instruct,dphn/Dolphin3.0-Llama3.1-8B,0.139,2.0
meta-llama/Llama-3.1-8B-Instruct,acon96/Home-Llama-3.2-3B,0.1356,12.0
meta-llama/Llama-3.1-8B-Instruct,inference-net/Schematron-3B,0.1341,12.0
meta-llama/Llama-3.1-8B-Instruct,NousResearch/Hermes-3-Llama-3.1-8B,0.1162,2.0
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,0.1134,11.0
meta-llama/Llama-3.1-8B-Instruct,unsloth/Llama-3.2-3B-Instruct,0.1134,12.0
meta-llama/Llama-3.1-8B-Instruct,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.1017,12.0
meta-llama/Llama-Guard-3-8B,NousResearch/Hermes-3-Llama-3.1-8B,0.2294,2.0
meta-llama/Llama-Guard-3-8B,allenai/llama-3.1-tulu-2-8b,0.1558,2.0
meta-llama/Llama-Guard-3-8B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.1447,2.0
meta-llama/Llama-Guard-3-8B,meta-llama/Llama-3.1-8B-Instruct,0.1447,2.0
meta-llama/Llama-Guard-3-8B,unsloth/Meta-Llama-3.1-8B-Instruct,0.1447,3.0
meta-llama/Llama-Guard-3-8B,arcee-ai/Llama-3.1-SuperNova-Lite,0.1438,3.0
meta-llama/Llama-Guard-3-8B,NousResearch/Hermes-2-Pro-Llama-3-8B,0.1348,2.0
meta-llama/Llama-Guard-3-8B,aisingapore/Llama-SEA-LION-v3-8B,0.1314,3.0
meta-llama/Llama-Guard-3-8B,allenai/Llama-3.1-Tulu-3-8B,0.1292,4.0
meta-llama/Llama-Guard-3-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,0.1264,2.0
meta-llama/Llama-Guard-3-8B,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.1261,2.0
meta-llama/Llama-Guard-3-8B,microsoft/UserLM-8b,0.1214,2.0
meta-llama/Llama-Guard-3-8B,meta-llama/Llama-3.1-8B,0.1137,1.0
meta-llama/Llama-Guard-3-8B,unsloth/Llama-3.1-8B,0.1137,2.0
meta-llama/Llama-Guard-3-8B,dphn/Dolphin3.0-Llama3.1-8B,0.1135,2.0
Writer/palmyra-mini,nvidia/DLER-R1-1.5B-Research,0.312,
Writer/palmyra-mini,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,0.2902,
Writer/palmyra-mini,unsloth/Qwen2.5-Math-1.5B,0.2858,3.0
Writer/palmyra-mini,Qwen/Qwen2.5-Math-1.5B,0.2858,2.0
Writer/palmyra-mini,Menlo/AlphaSpace-1.5B,0.091,
Writer/palmyra-mini,Qwen/Qwen2.5-Math-1.5B-Instruct,0.0709,3.0
Writer/palmyra-mini,nvidia/OpenMath-Nemotron-1.5B,0.0475,3.0
Writer/palmyra-mini,Qwen/Qwen2.5-Coder-1.5B-Instruct,0.0275,3.0
Writer/palmyra-mini,PowerInfer/SmallThinker-3B-Preview,0.0238,13.0
Writer/palmyra-mini,Qwen/Qwen3-1.7B,0.0238,11.0
Writer/palmyra-mini,nvidia/OpenReasoning-Nemotron-1.5B,0.0224,2.0
Writer/palmyra-mini,Qwen/Qwen2.5-Coder-0.5B-Instruct,0.0216,12.0
Writer/palmyra-mini,Qwen/Qwen3-4B,0.0215,
Writer/palmyra-mini,Qwen/Qwen2.5-Coder-3B-Instruct,0.0213,13.0
Writer/palmyra-mini,nvidia/OpenCodeReasoning-Nemotron-7B,0.0199,13.0
dnotitia/Smoothie-Qwen3-1.7B,Qwen/Qwen3-1.7B,0.4898,1.0
dnotitia/Smoothie-Qwen3-1.7B,Qwen/Qwen3-4B,0.1183,
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,1.0,1.0
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,0.4274,2.0
unsloth/Qwen2.5-1.5B,Gensyn/Qwen2.5-1.5B-Instruct,0.4274,2.0
unsloth/Qwen2.5-1.5B,unsloth/Qwen2.5-1.5B-Instruct,0.4274,3.0
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,0.3919,11.0
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-Coder-0.5B,0.2449,11.0
unsloth/Qwen2.5-1.5B,unsloth/Qwen3-1.7B-Base,0.1898,13.0
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-7B,0.1805,11.0
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-Coder-1.5B,0.1766,2.0
unsloth/Qwen2.5-1.5B,nvidia/OpenReasoning-Nemotron-1.5B,0.1495,2.0
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-3B-Instruct,0.141,12.0
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-Coder-7B,0.1134,12.0
unsloth/Qwen2.5-1.5B,SakanaAI/TinySwallow-1.5B,0.1092,3.0
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,1.0,1.0
unsloth/Qwen2.5-1.5B-Instruct,Gensyn/Qwen2.5-1.5B-Instruct,1.0,3.0
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,0.5976,2.0
unsloth/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B,0.5976,3.0
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B,0.3449,12.0
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,0.2649,13.0
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,0.2175,12.0
unsloth/Qwen2.5-1.5B-Instruct,nvidia/OpenReasoning-Nemotron-1.5B,0.2072,3.0
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-7B,0.1908,12.0
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,0.1862,3.0
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-7B,0.181,13.0
unsloth/Qwen2.5-1.5B-Instruct,unsloth/Qwen3-1.7B-Base,0.1565,14.0
microsoft/UserLM-8b,NousResearch/Hermes-2-Pro-Llama-3-8B,0.2861,2.0
microsoft/UserLM-8b,aisingapore/Llama-SEA-LION-v3-8B,0.2531,3.0
microsoft/UserLM-8b,arcee-ai/Llama-3.1-SuperNova-Lite,0.246,3.0
microsoft/UserLM-8b,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.2415,2.0
microsoft/UserLM-8b,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.2398,2.0
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B-Instruct,0.2398,2.0
microsoft/UserLM-8b,unsloth/Meta-Llama-3.1-8B-Instruct,0.2398,3.0
microsoft/UserLM-8b,allenai/Llama-3.1-Tulu-3-8B-SFT,0.2194,2.0
microsoft/UserLM-8b,allenai/Llama-3.1-Tulu-3-8B,0.1999,4.0
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B,0.1854,1.0
microsoft/UserLM-8b,unsloth/Llama-3.1-8B,0.1854,2.0
microsoft/UserLM-8b,allenai/llama-3.1-tulu-2-8b,0.1799,2.0
microsoft/UserLM-8b,nvidia/OpenMath2-Llama3.1-8B,0.1585,2.0
microsoft/UserLM-8b,dphn/Dolphin3.0-Llama3.1-8B,0.1485,2.0
microsoft/UserLM-8b,NousResearch/Hermes-3-Llama-3.1-8B,0.1294,2.0
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B,0.2225,1.0
Qwen/Qwen2.5-Coder-1.5B,unsloth/Qwen2.5-1.5B,0.2225,2.0
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-3B,0.2106,11.0
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-0.5B,0.1748,11.0
Qwen/Qwen2.5-Coder-1.5B,unsloth/Qwen3-1.7B-Base,0.1705,13.0
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,0.1703,1.0
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-7B,0.1668,12.0
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B-Instruct,0.1618,2.0
Qwen/Qwen2.5-Coder-1.5B,Gensyn/Qwen2.5-1.5B-Instruct,0.1618,2.0
Qwen/Qwen2.5-Coder-1.5B,unsloth/Qwen2.5-1.5B-Instruct,0.1618,3.0
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-7B,0.1297,11.0
nvidia/OpenMath-Nemotron-1.5B,Writer/palmyra-mini,0.0565,3.0
nvidia/OpenMath-Nemotron-1.5B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,0.0561,
nvidia/OpenMath-Nemotron-1.5B,nvidia/DLER-R1-1.5B-Research,0.0555,
nvidia/OpenMath-Nemotron-1.5B,unsloth/Qwen2.5-Math-1.5B,0.055,2.0
nvidia/OpenMath-Nemotron-1.5B,Qwen/Qwen2.5-Math-1.5B,0.055,1.0
nvidia/OpenMath-Nemotron-1.5B,Menlo/AlphaSpace-1.5B,0.0471,
nvidia/OpenMath-Nemotron-1.5B,Qwen/Qwen2.5-Math-1.5B-Instruct,0.0318,2.0
nvidia/OpenMath-Nemotron-1.5B,nvidia/OpenReasoning-Nemotron-1.5B,0.031,3.0
unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B,1.0,1.0
unsloth/Qwen2.5-Math-1.5B,Writer/palmyra-mini,0.2311,3.0
unsloth/Qwen2.5-Math-1.5B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,0.1597,
unsloth/Qwen2.5-Math-1.5B,nvidia/DLER-R1-1.5B-Research,0.1545,
unsloth/Qwen2.5-Math-1.5B,Menlo/AlphaSpace-1.5B,0.1054,
unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,0.0365,4.0
nvidia/Llama-3.1-8B-Instruct-FP8,tiiuae/Falcon3-1B-Instruct,0.8179,
nvidia/Llama-3.1-8B-Instruct-FP8,mistralai/Mistral-7B-Instruct-v0.3,0.4574,
nvidia/Llama-3.1-8B-Instruct-FP8,mistralai/Mistral-7B-Instruct-v0.2,0.0832,
nvidia/Llama-3.1-8B-Instruct-FP8,mistralai/Mistral-7B-v0.1,0.0763,
nvidia/Llama-3.1-8B-Instruct-FP8,google/gemma-2-2b-jpn-it,0.0728,
nvidia/Llama-3.1-8B-Instruct-FP8,google/gemma-2-2b-it,0.0466,
nvidia/Llama-3.1-8B-Instruct-FP8,unsloth/Phi-3.5-mini-instruct,0.0444,
nvidia/Llama-3.1-8B-Instruct-FP8,google/gemma-2-2b,0.0334,
nvidia/Llama-3.1-8B-Instruct-FP8,unsloth/Qwen2.5-Math-7B-Instruct,0.0268,
nvidia/Llama-3.1-8B-Instruct-FP8,Qwen/Qwen2.5-Math-1.5B-Instruct,0.0213,
nvidia/Llama-3.1-8B-Instruct-FP8,allenai/llama-3.1-tulu-2-8b,0.0136,3.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,nvidia/OpenCodeReasoning-Nemotron-7B,0.2173,2.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B,0.2069,2.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,arcee-ai/Meraj-Mini,0.2035,2.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.1946,2.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Gensyn/Qwen2.5-7B-Instruct,0.1899,2.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct,0.1899,1.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Jurema-br/Jurema-7B,0.1822,2.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct-1M,0.162,3.0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2-7B,0.0788,12.0
nvidia/OpenCodeReasoning-Nemotron-7B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.2477,2.0
nvidia/OpenCodeReasoning-Nemotron-7B,arcee-ai/Meraj-Mini,0.2321,2.0
nvidia/OpenCodeReasoning-Nemotron-7B,Gensyn/Qwen2.5-7B-Instruct,0.2207,2.0
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct,0.2207,1.0
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B,0.2156,2.0
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct-1M,0.2142,3.0
nvidia/OpenCodeReasoning-Nemotron-7B,Jurema-br/Jurema-7B,0.2072,2.0
nvidia/OpenCodeReasoning-Nemotron-7B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.2055,2.0
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2-7B,0.0903,12.0
google/gemma-2-2b-it,google/gemma-2-2b-jpn-it,0.6201,1.0
google/gemma-2-2b-it,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,0.0747,2.0
google/gemma-2-2b-it,google/gemma-2-2b,0.0167,1.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,0.1579,1.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,0.0777,14.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,nvidia/OpenReasoning-Nemotron-1.5B,0.071,3.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-7B,0.0684,13.0
nvidia/OpenMath2-Llama3.1-8B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.2012,2.0
nvidia/OpenMath2-Llama3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.2012,2.0
nvidia/OpenMath2-Llama3.1-8B,unsloth/Meta-Llama-3.1-8B-Instruct,0.2012,3.0
nvidia/OpenMath2-Llama3.1-8B,arcee-ai/Llama-3.1-SuperNova-Lite,0.1986,3.0
nvidia/OpenMath2-Llama3.1-8B,microsoft/UserLM-8b,0.1933,2.0
nvidia/OpenMath2-Llama3.1-8B,allenai/llama-3.1-tulu-2-8b,0.1908,2.0
nvidia/OpenMath2-Llama3.1-8B,aisingapore/Llama-SEA-LION-v3-8B,0.1847,3.0
nvidia/OpenMath2-Llama3.1-8B,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,0.1656,
nvidia/OpenMath2-Llama3.1-8B,dphn/Dolphin3.0-Llama3.1-8B,0.1621,2.0
nvidia/OpenMath2-Llama3.1-8B,NousResearch/Hermes-2-Pro-Llama-3-8B,0.1559,2.0
unsloth/Llama-3.1-8B,meta-llama/Llama-3.1-8B,1.0,1.0
unsloth/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,0.553,2.0
unsloth/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B,0.5267,4.0
unsloth/Llama-3.1-8B,aisingapore/Llama-SEA-LION-v3-8B,0.3845,3.0
unsloth/Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B,0.368,2.0
unsloth/Llama-3.1-8B,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.3174,2.0
unsloth/Llama-3.1-8B,NousResearch/Hermes-2-Pro-Llama-3-8B,0.3009,2.0
unsloth/Llama-3.1-8B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.2475,2.0
unsloth/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.2475,2.0
unsloth/Llama-3.1-8B,unsloth/Meta-Llama-3.1-8B-Instruct,0.2475,3.0
unsloth/Llama-3.1-8B,arcee-ai/Llama-3.1-SuperNova-Lite,0.2341,3.0
unsloth/Llama-3.1-8B,dphn/Dolphin3.0-Llama3.1-8B,0.2325,2.0
unsloth/Llama-3.1-8B,allenai/llama-3.1-tulu-2-8b,0.2275,2.0
unsloth/Llama-3.1-8B,meta-llama/Llama-3.2-3B,0.2029,11.0
unsloth/Llama-3.1-8B,microsoft/UserLM-8b,0.1755,2.0
unsloth/Llama-3.1-8B,unsloth/Llama-3.2-1B,0.1534,
unsloth/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,1.0,1.0
unsloth/Llama-3.2-3B-Instruct,inference-net/Schematron-3B,0.7628,2.0
unsloth/Llama-3.2-3B-Instruct,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.7563,2.0
unsloth/Llama-3.2-3B-Instruct,acon96/Home-Llama-3.2-3B,0.7553,2.0
unsloth/Llama-3.2-3B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,0.1962,13.0
unsloth/Llama-3.2-3B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.1925,12.0
unsloth/Llama-3.2-3B-Instruct,meta-llama/Llama-3.1-8B-Instruct,0.1925,12.0
unsloth/Llama-3.2-3B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,0.1925,13.0
unsloth/Meta-Llama-3.1-8B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,1.0,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,1.0,1.0
unsloth/Meta-Llama-3.1-8B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,0.703,2.0
unsloth/Meta-Llama-3.1-8B-Instruct,aisingapore/Llama-SEA-LION-v3-8B,0.3266,2.0
unsloth/Meta-Llama-3.1-8B-Instruct,allenai/llama-3.1-tulu-2-8b,0.19,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.169,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,microsoft/UserLM-8b,0.1646,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,allenai/Llama-3.1-Tulu-3-8B,0.1609,5.0
unsloth/Meta-Llama-3.1-8B-Instruct,NousResearch/Hermes-2-Pro-Llama-3-8B,0.1498,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,dphn/Dolphin3.0-Llama3.1-8B,0.148,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,allenai/Llama-3.1-Tulu-3-8B-SFT,0.1397,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/OpenMath2-Llama3.1-8B,0.1365,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,acon96/Home-Llama-3.2-3B,0.1147,13.0
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,0.1092,2.0
unsloth/Meta-Llama-3.1-8B-Instruct,unsloth/Llama-3.1-8B,0.1092,3.0
unsloth/Meta-Llama-3.1-8B-Instruct,inference-net/Schematron-3B,0.0967,13.0
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-3B-Instruct,0.095,12.0
unsloth/Meta-Llama-3.1-8B-Instruct,unsloth/Llama-3.2-3B-Instruct,0.095,13.0
unsloth/Meta-Llama-3.1-8B-Instruct,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.0893,13.0
unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,0.0806,
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-Math-1.5B,1.0,1.0
Qwen/Qwen2.5-Math-1.5B,Writer/palmyra-mini,0.1755,2.0
Qwen/Qwen2.5-Math-1.5B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,0.1047,
Qwen/Qwen2.5-Math-1.5B,nvidia/DLER-R1-1.5B-Research,0.0934,
Qwen/Qwen2.5-Math-1.5B,Menlo/AlphaSpace-1.5B,0.0833,
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-1.7B,0.0535,11.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Coder-3B-Instruct,0.048,13.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,0.0472,3.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Coder-0.5B-Instruct,0.0462,12.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-4B,0.0448,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,google/gemma-2-2b-jpn-it,0.3345,3.0
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,google/gemma-2-2b-it,0.3303,2.0
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,google/gemma-2-2b,0.2899,1.0
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-1.5B,0.1243,1.0
nvidia/OpenReasoning-Nemotron-1.5B,unsloth/Qwen2.5-1.5B,0.1243,2.0
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-3B,0.0866,11.0
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-1.5B-Instruct,0.0654,2.0
nvidia/OpenReasoning-Nemotron-1.5B,Gensyn/Qwen2.5-1.5B-Instruct,0.0654,2.0
nvidia/OpenReasoning-Nemotron-1.5B,unsloth/Qwen2.5-1.5B-Instruct,0.0654,3.0
