model,base_model,n_outliers,n_strict_related_in_outliers,n_strict_related_in_universe,precision_outliers_vs_strict,recall_strict_in_universe_captured,strict_related_outliers,strict_related_in_universe_not_in_outliers
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.1-8B-Instruct,
unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,40,1,1,0.025,1.0,Qwen/Qwen2.5-0.5B-Instruct,
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,28,1,1,0.035714,1.0,Qwen/Qwen2.5-1.5B,
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,38,1,1,0.026316,1.0,Qwen/Qwen2.5-1.5B-Instruct,
unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B,21,1,1,0.047619,1.0,Qwen/Qwen2.5-Math-1.5B,
google/gemma-2-2b,,13,0,2,0.0,0.0,,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0 | google/gemma-2-2b-it
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,21,1,2,0.047619,0.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-Coder-0.5B-Instruct
unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,Qwen/Qwen2.5-0.5B-Instruct,20,1,1,0.05,1.0,Qwen/Qwen2.5-0.5B-Instruct,
unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,Qwen/Qwen2.5-1.5B,40,1,1,0.025,1.0,Qwen/Qwen2.5-1.5B,
unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,Qwen/Qwen2.5-1.5B-Instruct,45,1,1,0.022222,1.0,Qwen/Qwen2.5-1.5B-Instruct,
unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,Qwen/Qwen2.5-1.5B-Instruct,45,1,1,0.022222,1.0,Qwen/Qwen2.5-1.5B-Instruct,
unsloth/Qwen2.5-Math-1.5B-bnb-4bit,Qwen/Qwen2.5-Math-1.5B,28,1,1,0.035714,1.0,Qwen/Qwen2.5-Math-1.5B,
unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
unsloth/Llama-3.2-1B-Instruct-bnb-4bit,meta-llama/Llama-3.2-1B-Instruct,23,1,1,0.043478,1.0,meta-llama/Llama-3.2-1B-Instruct,
unsloth/Llama-3.2-3B-Instruct-bnb-4bit,meta-llama/Llama-3.2-3B-Instruct,28,1,1,0.035714,1.0,meta-llama/Llama-3.2-3B-Instruct,
unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,meta-llama/Llama-3.1-8B-Instruct,31,2,2,0.064516,1.0,meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,39,1,1,0.025641,1.0,unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,
llama31_8b_instruct_iq4_nl,meta-llama/Llama-3.1-8B-Instruct,44,1,1,0.022727,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_iq4_xs,meta-llama/Llama-3.1-8B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q2_k,meta-llama/Llama-3.1-8B-Instruct,42,1,1,0.02381,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q2_k_l,meta-llama/Llama-3.1-8B-Instruct,39,1,1,0.025641,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q3_k_m,meta-llama/Llama-3.1-8B-Instruct,41,1,1,0.02439,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q3_k_s,meta-llama/Llama-3.1-8B-Instruct,36,1,1,0.027778,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q4_0,meta-llama/Llama-3.1-8B-Instruct,43,1,1,0.023256,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q4_1,meta-llama/Llama-3.1-8B-Instruct,33,1,1,0.030303,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q4_k_m,meta-llama/Llama-3.1-8B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q4_k_s,meta-llama/Llama-3.1-8B-Instruct,37,1,1,0.027027,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_bf16,meta-llama/Llama-3.1-8B-Instruct,45,1,1,0.022222,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q5_k_m,meta-llama/Llama-3.1-8B-Instruct,34,1,1,0.029412,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q5_k_s,meta-llama/Llama-3.1-8B-Instruct,32,1,1,0.03125,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q6_k,meta-llama/Llama-3.1-8B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_iq1_m,meta-llama/Llama-3.1-8B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_iq1_s,meta-llama/Llama-3.1-8B-Instruct,32,1,1,0.03125,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_iq2_m,meta-llama/Llama-3.1-8B-Instruct,39,1,1,0.025641,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_iq2_xxs,meta-llama/Llama-3.1-8B-Instruct,38,1,1,0.026316,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_iq3_xxs,meta-llama/Llama-3.1-8B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q2_k_xl,meta-llama/Llama-3.1-8B-Instruct,39,1,1,0.025641,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q3_k_xl,meta-llama/Llama-3.1-8B-Instruct,43,1,1,0.023256,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q4_k_xl,meta-llama/Llama-3.1-8B-Instruct,43,1,1,0.023256,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q5_k_xl,meta-llama/Llama-3.1-8B-Instruct,44,1,1,0.022727,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q6_k_xl,meta-llama/Llama-3.1-8B-Instruct,38,1,1,0.026316,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama31_8b_instruct_q8_k_xl,meta-llama/Llama-3.1-8B-Instruct,44,1,1,0.022727,1.0,meta-llama/Llama-3.1-8B-Instruct,
llama32_3b_instruct_bf16,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_f16,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_iq4_nl,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_iq4_xs,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q2_k,meta-llama/Llama-3.2-3B-Instruct,28,1,1,0.035714,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q2_k_l,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q3_k_m,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q3_k_s,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q4_0,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q4_1,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q4_k_m,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q4_k_s,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q5_k_m,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q5_k_s,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q6_k,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q8_0,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_iq1_m,meta-llama/Llama-3.2-3B-Instruct,0,0,1,,0.0,,meta-llama/Llama-3.2-3B-Instruct
llama32_3b_instruct_iq1_s,meta-llama/Llama-3.2-3B-Instruct,33,1,1,0.030303,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_iq2_m,meta-llama/Llama-3.2-3B-Instruct,28,1,1,0.035714,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_iq2_xxs,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_iq3_xxs,meta-llama/Llama-3.2-3B-Instruct,26,1,1,0.038462,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q2_k_xl,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q3_k_xl,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q4_k_xl,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q5_k_xl,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q6_k_xl,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_3b_instruct_q8_k_xl,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
llama32_1b_instruct_bf16,meta-llama/Llama-3.2-1B-Instruct,27,1,1,0.037037,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_f16,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_iq4_nl,meta-llama/Llama-3.2-1B-Instruct,26,1,1,0.038462,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_iq4_xs,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q2_k,meta-llama/Llama-3.2-1B-Instruct,27,1,1,0.037037,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q2_k_l,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q3_k_m,meta-llama/Llama-3.2-1B-Instruct,24,1,1,0.041667,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q3_k_s,meta-llama/Llama-3.2-1B-Instruct,27,1,1,0.037037,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q4_0,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q4_1,meta-llama/Llama-3.2-1B-Instruct,23,1,1,0.043478,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q4_k_m,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q4_k_s,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q5_k_m,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q5_k_s,meta-llama/Llama-3.2-1B-Instruct,23,1,1,0.043478,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q6_k,meta-llama/Llama-3.2-1B-Instruct,27,1,1,0.037037,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q8_0,meta-llama/Llama-3.2-1B-Instruct,24,1,1,0.041667,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_iq1_m,meta-llama/Llama-3.2-1B-Instruct,1,0,1,0.0,0.0,,meta-llama/Llama-3.2-1B-Instruct
llama32_1b_instruct_iq1_s,meta-llama/Llama-3.2-1B-Instruct,0,0,1,,0.0,,meta-llama/Llama-3.2-1B-Instruct
llama32_1b_instruct_iq2_m,meta-llama/Llama-3.2-1B-Instruct,24,1,1,0.041667,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_iq2_xxs,meta-llama/Llama-3.2-1B-Instruct,0,0,1,,0.0,,meta-llama/Llama-3.2-1B-Instruct
llama32_1b_instruct_iq3_xxs,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q2_k_xl,meta-llama/Llama-3.2-1B-Instruct,27,1,1,0.037037,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q3_k_xl,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q4_k_xl,meta-llama/Llama-3.2-1B-Instruct,24,1,1,0.041667,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q5_k_xl,meta-llama/Llama-3.2-1B-Instruct,27,1,1,0.037037,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q6_k_xl,meta-llama/Llama-3.2-1B-Instruct,24,1,1,0.041667,1.0,meta-llama/Llama-3.2-1B-Instruct,
llama32_1b_instruct_q8_k_xl,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
_SUMMARY_,,8581,346,388,0.040322,0.891753,micro_TP=346_pred=8581_gold_universe_sum=388,rows_with_strict_neighbor_in_universe=215
