model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
HuggingFaceH4/zephyr-7b-beta,45,45,8,37,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/NeuralBeagle14-7B | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | Nexusflow/Starling-LM-7B-beta | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | berkeley-nest/Starling-LM-7B-alpha | kevin009/llamaRAGdrama | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5 | lmsys/vicuna-7b-v1.5-16k | PharMolix/BioMedGPT-LM-7B | AdaptLLM/medicine-LLM | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | FelixChao/vicuna-7B-physics | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | EleutherAI/polyglot-ko-3.8b | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code,
HuggingFaceTB/SmolLM-135M,43,43,1,42,EleutherAI/gpt-neo-1.3B | PygmalionAI/pygmalion-2.7b | bigcode/starcoder2-3b | KoboldAI/GPT-Neo-2.7B-Horni-LN | TheOneWhoWill/Bootstrap-LLM | allenai/OLMoE-1B-7B-0924 | EleutherAI/pythia-2.8b | EleutherAI/pythia-1b | EleutherAI/pythia-1.4b | NinedayWang/PolyCoder-2.7B | EleutherAI/pythia-6.9b | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | fblgit/UNA-TheBeagle-7b-v1 | dicta-il/dictalm2.0 | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | mlabonne/Marcoro14-7B-slerp | Biomimicry-AI/ANIMA-Nectar-v2 | flemmingmiguel/MBX-7B-v3 | 01-ai/Yi-6B-Chat | AiMavenAi/AiMaven-Prometheus | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | 01-ai/Yi-6B-200K | mlabonne/OmniBeagle-7B | shadowml/WestBeagle-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare-dpo | mistralai/Mistral-7B-v0.1 | CorticalStack/pastiche-crown-clown-7b-dare | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Mistral-7B-32k | bardsai/jaskier-7b-dpo-v5.6 | FelixChao/Sectumsempra-7B-DPO | berkeley-nest/Starling-LM-7B-alpha | TinyLlama/TinyLlama_v1.1 | CultriX/NeuralTrix-bf16 | Intel/neural-chat-7b-v3-3 | mistralai/Mistral-7B-Instruct-v0.1 | CultriX/NeuralTrix-7B-dpo | EleutherAI/polyglot-ko-3.8b,
HuggingFaceTB/SmolLM2-135M,5,5,1,4,EleutherAI/gpt-neo-1.3B | bigcode/starcoder2-3b | PygmalionAI/pygmalion-2.7b | KoboldAI/GPT-Neo-2.7B-Horni-LN,
HuggingFaceTB/SmolLM3-3B,1,1,1,0,,1.0
HuggingFaceTB/SmolLM3-3B-Base,2,2,1,1,dphn/Dolphin3.0-Llama3.1-8B,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,4,4,4,0,,3.75
Intel/neural-chat-7b-v3-1,36,36,8,28,shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | kevin009/llamaRAGdrama | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | Nexusflow/Starling-LM-7B-beta | CultriX/NeuralTrix-7B-dpo | berkeley-nest/Starling-LM-7B-alpha | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-chemical,
Intel/neural-chat-7b-v3-3,42,42,8,34,shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | mlabonne/Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | kevin009/llamaRAGdrama | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5 | lmsys/vicuna-7b-v1.1 | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | AdaptLLM/medicine-LLM | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | FelixChao/vicuna-7B-physics | TinyLlama/TinyLlama-1.1B-Chat-v0.5,
Jurema-br/Jurema-7B,36,36,33,3,allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base | beyoru/Luna,
KoboldAI/GPT-Neo-2.7B-Horni-LN,14,14,0,14,PygmalionAI/pygmalion-2.7b | EleutherAI/gpt-neo-1.3B | TheOneWhoWill/Bootstrap-LLM | HuggingFaceTB/SmolLM-135M | allenai/OLMoE-1B-7B-0924 | EleutherAI/pythia-1b | EleutherAI/pythia-1.4b | HuggingFaceTB/SmolLM2-135M | bigcode/starcoder2-3b | EleutherAI/pythia-2.8b | NinedayWang/PolyCoder-2.7B | EleutherAI/pythia-6.9b | ChrisMcCormick/deepseek-tiny-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2,
LGAI-EXAONE/EXAONE-4.0-1.2B,0,0,0,0,,
LiquidAI/LFM2-1.2B,11,11,1,10,01-ai/Yi-6B-200K | 01-ai/Yi-6B | PygmalionAI/pygmalion-2.7b | EleutherAI/pythia-6.9b | EleutherAI/pythia-1b | augmxnt/shisa-base-7b-v1 | HuggingFaceTB/SmolLM-135M | allenai/OLMoE-1B-7B-0924 | 01-ai/Yi-6B-Chat | EleutherAI/pythia-2.8b,
LiquidAI/LFM2-350M,9,9,1,8,01-ai/Yi-6B-Chat | 01-ai/Yi-6B | 01-ai/Yi-6B-200K | EleutherAI/pythia-1b | EleutherAI/pythia-2.8b | EleutherAI/pythia-6.9b | PygmalionAI/pygmalion-2.7b | EleutherAI/pythia-1.4b,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,30,30,30,0,,1.966667
Nexusflow/Starling-LM-7B-beta,52,52,1,51,fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | mlabonne/Beagle14-7B | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mistralai/Mistral-7B-v0.1 | mlabonne/OmniBeagle-7B | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | kevin009/llamaRAGdrama | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | HuggingFaceH4/zephyr-7b-beta | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | lmsys/vicuna-7b-v1.5 | lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | bigscience/bloomz-1b7 | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | FelixChao/vicuna-7B-physics | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
NinedayWang/PolyCoder-2.7B,14,14,0,14,EleutherAI/pythia-1.4b | allenai/OLMoE-1B-7B-0924 | EleutherAI/pythia-1b | EleutherAI/pythia-2.8b | EleutherAI/pythia-6.9b | KoboldAI/GPT-Neo-2.7B-Horni-LN | PygmalionAI/pygmalion-2.7b | EleutherAI/gpt-neo-1.3B | HuggingFaceTB/SmolLM2-135M | bigcode/starcoder2-3b | TheOneWhoWill/Bootstrap-LLM | HuggingFaceTB/SmolLM-135M | ChrisMcCormick/deepseek-tiny-v0.1 | 01-ai/Yi-6B-200K,
NousResearch/Hermes-3-Llama-3.1-8B,7,7,7,0,,3.142857
PharMolix/BioMedGPT-LM-7B,44,44,0,44,lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1 | lmsys/vicuna-7b-v1.1 | TinyLlama/TinyLlama_v1.1_math_code | AdaptLLM/medicine-LLM | Biomimicry-AI/ANIMA-Nectar-v2 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1 | BioMistral/BioMistral-7B-DARE | SciPhi/SciPhi-Mistral-7B-32k | Nexusflow/Starling-LM-7B-beta | HuggingFaceH4/zephyr-7b-beta | argilla/distilabeled-Marcoro14-7B-slerp | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | FelixChao/Sectumsempra-7B-DPO | shadowml/WestBeagle-7B | mlabonne/Marcoro14-7B-slerp | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mlabonne/NeuralBeagle14-7B | mlabonne/Beagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | BioMistral/BioMistral-7B | mlabonne/OmniBeagle-7B | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | CorticalStack/pastiche-crown-clown-7b-dare | berkeley-nest/Starling-LM-7B-alpha | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | kevin009/llamaRAGdrama | bardsai/jaskier-7b-dpo-v5.6 | dicta-il/dictalm2.0 | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | deepseek-ai/deepseek-coder-1.3b-base,
PowerInfer/SmallThinker-3B-Preview,37,37,35,2,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base,
PygmalionAI/pygmalion-2.7b,15,15,0,15,KoboldAI/GPT-Neo-2.7B-Horni-LN | EleutherAI/gpt-neo-1.3B | TheOneWhoWill/Bootstrap-LLM | HuggingFaceTB/SmolLM2-135M | allenai/OLMoE-1B-7B-0924 | HuggingFaceTB/SmolLM-135M | bigcode/starcoder2-3b | EleutherAI/pythia-1b | NinedayWang/PolyCoder-2.7B | EleutherAI/pythia-1.4b | EleutherAI/pythia-2.8b | EleutherAI/pythia-6.9b | Biomimicry-AI/ANIMA-Nectar-v2 | LiquidAI/LFM2-1.2B | Nexusflow/Starling-LM-7B-beta,
Qwen/Qwen1.5-0.5B-Chat,0,0,0,0,,
Qwen/Qwen1.5-4B-Chat,0,0,0,0,,
Qwen/Qwen2-0.5B,1,1,1,0,,1.0
Qwen/Qwen2-0.5B-Instruct,1,1,1,0,,1.0
Qwen/Qwen2-7B,28,28,24,4,allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base | beyoru/Luna | Aurore-Reveil/Koto-Small-7B-IT,
Qwen/Qwen2-7B-Instruct,19,19,18,1,allura-org/Koto-Small-7B-PT,
Qwen/Qwen2.5-0.5B,40,40,37,3,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT,
Qwen/Qwen2.5-0.5B-Instruct,9,9,9,0,,8.222222
Qwen/Qwen2.5-1.5B,28,28,26,2,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen2.5-1.5B-Instruct,44,44,43,1,beyoru/Luna,
Qwen/Qwen2.5-3B,27,27,24,3,beyoru/Luna | allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen2.5-3B-Instruct,26,26,25,1,beyoru/Luna,
Qwen/Qwen2.5-7B,39,39,36,3,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT,
Qwen/Qwen2.5-7B-Instruct,24,24,23,1,XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen2.5-7B-Instruct-1M,15,15,15,0,,5.133333
Qwen/Qwen2.5-Coder-0.5B-Instruct,64,64,60,4,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT | Aurore-Reveil/Koto-Small-7B-IT,
Qwen/Qwen2.5-Coder-1.5B,47,47,43,4,beyoru/Luna | allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base | Aurore-Reveil/Koto-Small-7B-IT,
Qwen/Qwen2.5-Coder-1.5B-Instruct,42,42,39,3,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT,
Qwen/Qwen2.5-Coder-7B,11,11,11,0,,6.818182
Qwen/Qwen2.5-Coder-7B-Instruct,37,37,35,2,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen2.5-Math-1.5B,23,23,22,1,beyoru/Luna,
Qwen/Qwen2.5-Math-1.5B-Instruct,46,46,45,1,beyoru/Luna,
Qwen/Qwen2.5-Math-7B,23,23,22,1,beyoru/Luna,
Qwen/Qwen2.5-Math-7B-Instruct,12,12,0,12,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
Qwen/Qwen3-0.6B,49,49,46,3,beyoru/Luna | allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen3-0.6B-Base,49,49,47,2,beyoru/Luna | allura-org/Koto-Small-7B-PT,
Qwen/Qwen3-1.7B,40,40,38,2,beyoru/Luna | allura-org/Koto-Small-7B-PT,
Qwen/Qwen3-1.7B-Base,47,47,44,3,XiaomiMiMo/MiMo-7B-Base | beyoru/Luna | allura-org/Koto-Small-7B-PT,
Qwen/Qwen3-4B,19,19,18,1,beyoru/Luna,
Qwen/Qwen3-4B-Base,16,16,14,2,XiaomiMiMo/MiMo-7B-Base | beyoru/Luna,
Qwen/Qwen3-4B-Instruct-2507,37,37,34,3,beyoru/Luna | allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen3-4B-Thinking-2507,46,46,43,3,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT,
Qwen/Qwen3-4B-Thinking-2507-FP8,54,54,51,3,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT,
S4nfs/Neeto-1.0-8b,5,5,0,5,meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | aisingapore/Llama-SEA-LION-v3-8B | gradientai/Llama-3-8B-Instruct-262k,
SakanaAI/TinySwallow-1.5B,14,14,8,6,XiaomiMiMo/MiMo-7B-Base | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | aisingapore/Llama-SEA-LION-v3-8B | dphn/Dolphin3.0-Llama3.1-8B,
SciPhi/SciPhi-Mistral-7B-32k,44,44,8,36,shadowml/WestBeagle-7B | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | mlabonne/Beagle14-7B | Nexusflow/Starling-LM-7B-beta | mlabonne/NeuralBeagle14-7B | berkeley-nest/Starling-LM-7B-alpha | fblgit/UNA-TheBeagle-7b-v1 | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/OmniBeagle-7B | mlabonne/Marcoro14-7B-slerp | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare | CultriX/NeuralTrix-bf16 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | AdaptLLM/medicine-LLM,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,34,34,8,26,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | Nexusflow/Starling-LM-7B-beta | fblgit/UNA-TheBeagle-7b-v1 | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | berkeley-nest/Starling-LM-7B-alpha | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.5,
Tesslate/UIGEN-X-4B-0729,39,39,38,1,beyoru/Luna,
Tesslate/WEBGEN-4B-Preview,45,45,42,3,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT,
TheOneWhoWill/Bootstrap-LLM,16,16,0,16,PygmalionAI/pygmalion-2.7b | KoboldAI/GPT-Neo-2.7B-Horni-LN | EleutherAI/gpt-neo-1.3B | ChrisMcCormick/deepseek-tiny-v0.1 | HuggingFaceTB/SmolLM-135M | bigcode/starcoder2-3b | HuggingFaceTB/SmolLM2-135M | NinedayWang/PolyCoder-2.7B | EleutherAI/pythia-1b | allenai/OLMoE-1B-7B-0924 | EleutherAI/pythia-2.8b | EleutherAI/pythia-6.9b | EleutherAI/pythia-1.4b | PharMolix/BioMedGPT-LM-7B | dicta-il/dictalm2.0 | FelixChao/vicuna-7B-physics,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,44,44,4,40,FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5 | PharMolix/BioMedGPT-LM-7B | AdaptLLM/medicine-LLM | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | FelixChao/Sectumsempra-7B-DPO | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2 | argilla/distilabeled-Marcoro14-7B-slerp | Intel/neural-chat-7b-v3-1 | mistralai/Mistral-7B-v0.1 | mlabonne/Marcoro14-7B-slerp | HuggingFaceH4/zephyr-7b-beta | Nexusflow/Starling-LM-7B-beta | BioMistral/BioMistral-7B-DARE | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B | kevin009/llamaRAGdrama | mlabonne/Beagle14-7B | CorticalStack/pastiche-crown-clown-7b-dare | BioMistral/BioMistral-7B | SciPhi/SciPhi-Mistral-7B-32k | CultriX/NeuralTrix-7B-dpo | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | mlabonne/NeuralBeagle14-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | fblgit/UNA-TheBeagle-7b-v1 | dicta-il/dictalm2.0 | berkeley-nest/Starling-LM-7B-alpha | deepseek-ai/deepseek-coder-1.3b-base,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,45,45,4,41,FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5-16k | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.5 | AdaptLLM/medicine-LLM | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | mistralai/Mistral-7B-v0.1 | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | CultriX/NeuralTrix-bf16 | shadowml/WestBeagle-7B | CultriX/NeuralTrix-7B-dpo | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | Intel/neural-chat-7b-v3-3 | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare | CorticalStack/pastiche-crown-clown-7b-dare-dpo | bardsai/jaskier-7b-dpo-v5.6 | mlabonne/OmniBeagle-7B | flemmingmiguel/MBX-7B-v3 | fblgit/UNA-TheBeagle-7b-v1 | FelixChao/Sectumsempra-7B-DPO | Nexusflow/Starling-LM-7B-beta | Biomimicry-AI/ANIMA-Nectar-v2 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | berkeley-nest/Starling-LM-7B-alpha | kevin009/llamaRAGdrama | Intel/neural-chat-7b-v3-1 | deepseek-ai/deepseek-coder-1.3b-base | EleutherAI/polyglot-ko-3.8b,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,45,45,4,41,FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5 | AdaptLLM/medicine-LLM | BioMistral/BioMistral-7B | Intel/neural-chat-7b-v3-3 | dicta-il/dictalm2.0 | mistralai/Mistral-7B-v0.1 | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | Biomimicry-AI/ANIMA-Nectar-v2 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Nexusflow/Starling-LM-7B-beta | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | FelixChao/Sectumsempra-7B-DPO | shadowml/BeagleSempra-7B | mlabonne/OmniBeagle-7B | mlabonne/Beagle14-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/NeuralBeagle14-7B | CorticalStack/pastiche-crown-clown-7b-dare-dpo | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | mistralai/Mistral-7B-Instruct-v0.1 | CultriX/NeuralTrix-bf16 | argilla/distilabeled-Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | berkeley-nest/Starling-LM-7B-alpha | kevin009/llamaRAGdrama | deepseek-ai/deepseek-coder-1.3b-base | EleutherAI/polyglot-ko-3.8b,
TinyLlama/TinyLlama_v1.1,26,26,4,22,lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM | FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5 | PharMolix/BioMedGPT-LM-7B | adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | deepseek-ai/deepseek-coder-1.3b-base | EleutherAI/polyglot-ko-3.8b,
