model,outlier,graph_distance
Qwen/Qwen2.5-Coder-7B-Instruct,XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-Math-1.5B,1.0
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-Math-1.5B-bnb-4bit,1.0
Qwen/Qwen2.5-Math-1.5B,Writer/palmyra-mini,2.0
Qwen/Qwen2.5-Math-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,11.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-7B,12.0
Qwen/Qwen2.5-Math-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11.0
Qwen/Qwen2.5-Math-1.5B,nvidia/OpenCodeReasoning-Nemotron-7B,13.0
Qwen/Qwen2.5-Math-1.5B,PowerInfer/SmallThinker-3B-Preview,13.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Coder-7B-Instruct,13.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,3.0
Qwen/Qwen2.5-Math-1.5B,janhq/Jan-v1-4B,12.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-4B-Thinking-2507-FP8,12.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-4B-Thinking-2507,11.0
Qwen/Qwen2.5-Math-1.5B,huihui-ai/Huihui-Jan-v1-4B-abliterated,13.0
Qwen/Qwen2.5-Math-1.5B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,13.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Coder-0.5B-Instruct,13.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-1.7B,12.0
Qwen/Qwen2.5-Math-1.5B,fluently/FluentlyQwen3-1.7B,13.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2-7B,11.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-4B-Instruct-2507,11.0
Qwen/Qwen2.5-Math-1.5B,beyoru/Luna,
Qwen/Qwen2.5-Math-1.5B,janhq/Jan-v1-edge,13.0
Qwen/Qwen2.5-Math-1.5B,Tesslate/UIGEN-X-4B-0729,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,1.0
Qwen/Qwen2.5-Math-1.5B-Instruct,unsloth/Qwen2.5-Math-1.5B,2.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Writer/palmyra-mini,3.0
Qwen/Qwen2.5-Math-1.5B-Instruct,unsloth/Qwen2.5-Math-1.5B-bnb-4bit,2.0
Qwen/Qwen2.5-Math-1.5B-Instruct,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-7B,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,beyoru/Luna,
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-4B-Instruct-2507,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2-7B,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Tesslate/WEBGEN-4B-Preview,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,arcee-ai/Meraj-Mini,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2-7B-Instruct,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Jurema-br/Jurema-7B,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Gensyn/Qwen2.5-7B-Instruct,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-7B-Instruct,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,abocide/Qwen2.5-7B-Instruct-R1-forfinance,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,DeepHat/DeepHat-V1-7B,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct,4.0
Qwen/Qwen2.5-Math-1.5B-Instruct,nvidia/OpenMath-Nemotron-1.5B,2.0
Qwen/Qwen2.5-Math-1.5B-Instruct,continuedev/instinct,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,fluently/FluentlyQwen3-1.7B,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-7B,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,nvidia/OpenCodeReasoning-Nemotron-7B,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-1.7B,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,janhq/Jan-v1-edge,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,dnotitia/Smoothie-Qwen3-1.7B,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,unsloth/Qwen2.5-0.5B-Instruct,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-0.5B,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-4B-Thinking-2507,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,4.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Coder-7B,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,janhq/Jan-v1-4B,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-4B-Thinking-2507-FP8,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,huihui-ai/Huihui-Jan-v1-4B-abliterated,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,4.0
Qwen/Qwen2.5-Math-1.5B-Instruct,PowerInfer/SmallThinker-3B-Preview,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Tesslate/UIGEN-X-4B-0729,14.0
Qwen/Qwen2.5-Math-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11.0
Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-Math-1.5B,12.0
Qwen/Qwen2.5-Math-7B,unsloth/Qwen2.5-Math-1.5B,13.0
Qwen/Qwen2.5-Math-7B,unsloth/Qwen2.5-Math-1.5B-bnb-4bit,13.0
Qwen/Qwen2.5-Math-7B,Qwen/Qwen3-4B-Thinking-2507,11.0
Qwen/Qwen2.5-Math-7B,janhq/Jan-v1-4B,12.0
Qwen/Qwen2.5-Math-7B,Qwen/Qwen3-4B-Thinking-2507-FP8,12.0
Qwen/Qwen2.5-Math-7B,huihui-ai/Huihui-Jan-v1-4B-abliterated,13.0
Qwen/Qwen2.5-Math-7B,nvidia/OpenCodeReasoning-Nemotron-7B,3.0
Qwen/Qwen2.5-Math-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,11.0
Qwen/Qwen2.5-Math-7B,PowerInfer/SmallThinker-3B-Preview,13.0
Qwen/Qwen2.5-Math-7B,Writer/palmyra-mini,12.0
Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-Coder-1.5B-Instruct,13.0
Qwen/Qwen2.5-Math-7B,Qwen/Qwen3-4B,12.0
Qwen/Qwen2.5-Math-7B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,3.0
Qwen/Qwen2.5-Math-7B,nvidia/OpenReasoning-Nemotron-1.5B,12.0
Qwen/Qwen2.5-Math-7B,Tesslate/UIGEN-X-4B-0729,13.0
Qwen/Qwen2.5-Math-7B,beyoru/Luna,
Qwen/Qwen2.5-Math-7B,Qwen/Qwen3-4B-Instruct-2507,11.0
Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-Coder-7B-Instruct,3.0
Qwen/Qwen2.5-Math-7B,Tesslate/WEBGEN-4B-Preview,12.0
Qwen/Qwen2.5-Math-7B,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,11.0
Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-Coder-0.5B-Instruct,13.0
Qwen/Qwen2.5-Math-7B-Instruct,adamo1139/Apertus-8B-Instruct-2509-ungated,
Qwen/Qwen2.5-Math-7B-Instruct,bigscience/bloom-560m,
Qwen/Qwen2.5-Math-7B-Instruct,bigscience/bloomz-1b1,
Qwen/Qwen2.5-Math-7B-Instruct,bigscience/bloomz-1b7,
Qwen/Qwen2.5-Math-7B-Instruct,bigscience/bloomz-560m,
Qwen/Qwen2.5-Math-7B-Instruct,chatitcloud/UZI1,
Qwen/Qwen2.5-Math-7B-Instruct,google/gemma-3-1b-pt,
Qwen/Qwen2.5-Math-7B-Instruct,google/gemma-3-270m,
Qwen/Qwen2.5-Math-7B-Instruct,google/gemma-3-4b-it,
Qwen/Qwen2.5-Math-7B-Instruct,google/gemma-3-4b-pt,
Qwen/Qwen2.5-Math-7B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8,
Qwen/Qwen2.5-Math-7B-Instruct,swiss-ai/Apertus-8B-2509,
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,1.0
Qwen/Qwen3-0.6B,fluently/FluentlyQwen3-1.7B,13.0
Qwen/Qwen3-0.6B,Qwen/Qwen3-1.7B,12.0
Qwen/Qwen3-0.6B,janhq/Jan-v1-edge,13.0
Qwen/Qwen3-0.6B,dnotitia/Smoothie-Qwen3-1.7B,13.0
Qwen/Qwen3-0.6B,Qwen/Qwen3-4B,12.0
Qwen/Qwen3-0.6B,Tesslate/UIGEN-X-4B-0729,13.0
Qwen/Qwen3-0.6B,beyoru/Luna,
Qwen/Qwen3-0.6B,Qwen/Qwen3-4B-Instruct-2507,11.0
Qwen/Qwen3-0.6B,Tesslate/WEBGEN-4B-Preview,12.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-3B,11.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-Coder-7B,12.0
Qwen/Qwen3-0.6B,Qwen/Qwen3-4B-Thinking-2507,11.0
Qwen/Qwen3-0.6B,janhq/Jan-v1-4B,12.0
Qwen/Qwen3-0.6B,Qwen/Qwen3-4B-Thinking-2507-FP8,12.0
Qwen/Qwen3-0.6B,Gensyn/Qwen2.5-1.5B-Instruct,12.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-1.5B-Instruct,12.0
Qwen/Qwen3-0.6B,unsloth/Qwen2.5-1.5B-Instruct,13.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-3B-Instruct,12.0
Qwen/Qwen3-0.6B,huihui-ai/Huihui-Jan-v1-4B-abliterated,13.0
Qwen/Qwen3-0.6B,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,11.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-0.5B,11.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-1.5B,11.0
Qwen/Qwen3-0.6B,unsloth/Qwen2.5-1.5B,12.0
Qwen/Qwen3-0.6B,unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,13.0
Qwen/Qwen3-0.6B,unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,12.0
Qwen/Qwen3-0.6B,unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,13.0
Qwen/Qwen3-0.6B,PowerInfer/SmallThinker-3B-Preview,13.0
Qwen/Qwen3-0.6B,unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,13.0
Qwen/Qwen3-0.6B,DeepHat/DeepHat-V1-7B,13.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-Coder-1.5B,12.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-0.5B-Instruct,12.0
Qwen/Qwen3-0.6B,unsloth/Qwen2.5-0.5B-Instruct,13.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-Coder-1.5B-Instruct,13.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-7B-Instruct-1M,12.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-Coder-7B-Instruct,13.0
Qwen/Qwen3-0.6B,Qwen/Qwen2-0.5B,11.0
Qwen/Qwen3-0.6B,Qwen/Qwen2.5-7B,11.0
Qwen/Qwen3-0.6B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,13.0
Qwen/Qwen3-0.6B,arcee-ai/Meraj-Mini,13.0
Qwen/Qwen3-0.6B,allura-org/Koto-Small-7B-PT,
Qwen/Qwen3-0.6B,Jurema-br/Jurema-7B,13.0
Qwen/Qwen3-0.6B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,13.0
Qwen/Qwen3-0.6B,nvidia/OpenReasoning-Nemotron-1.5B,12.0
Qwen/Qwen3-0.6B,Qwen/Qwen2-0.5B-Instruct,12.0
Qwen/Qwen3-0.6B,XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen3-0.6B,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,12.0
Qwen/Qwen3-0.6B,Qwen/Qwen3-1.7B-Base,11.0
Qwen/Qwen3-0.6B,Qwen/Qwen2-7B,11.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-0.6B,1.0
Qwen/Qwen3-0.6B-Base,Tesslate/WEBGEN-4B-Preview,11.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-4B-Instruct-2507,10.0
Qwen/Qwen3-0.6B-Base,beyoru/Luna,
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-3B-Instruct,11.0
Qwen/Qwen3-0.6B-Base,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,10.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-0.5B,10.0
Qwen/Qwen3-0.6B-Base,unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-0.5B-Instruct,11.0
Qwen/Qwen3-0.6B-Base,unsloth/Qwen2.5-0.5B-Instruct,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-3B,10.0
Qwen/Qwen3-0.6B-Base,Gensyn/Qwen2.5-1.5B-Instruct,11.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-1.5B-Instruct,11.0
Qwen/Qwen3-0.6B-Base,fluently/FluentlyQwen3-1.7B,12.0
Qwen/Qwen3-0.6B-Base,unsloth/Qwen2.5-1.5B-Instruct,12.0
Qwen/Qwen3-0.6B-Base,unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,12.0
Qwen/Qwen3-0.6B-Base,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,11.0
Qwen/Qwen3-0.6B-Base,unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,12.0
Qwen/Qwen3-0.6B-Base,dnotitia/Smoothie-Qwen3-1.7B,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-1.7B,11.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-7B,10.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-4B,11.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-7B-Instruct-1M,11.0
Qwen/Qwen3-0.6B-Base,janhq/Jan-v1-edge,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2-7B,10.0
Qwen/Qwen3-0.6B-Base,janhq/Jan-v1-4B,11.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-4B-Thinking-2507,10.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-4B-Thinking-2507-FP8,11.0
Qwen/Qwen3-0.6B-Base,arcee-ai/Meraj-Mini,12.0
Qwen/Qwen3-0.6B-Base,huihui-ai/Huihui-Jan-v1-4B-abliterated,12.0
Qwen/Qwen3-0.6B-Base,Gensyn/Qwen2.5-7B-Instruct,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-7B-Instruct,11.0
Qwen/Qwen3-0.6B-Base,Jurema-br/Jurema-7B,12.0
Qwen/Qwen3-0.6B-Base,unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,11.0
Qwen/Qwen3-0.6B-Base,DeepHat/DeepHat-V1-7B,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-1.7B-Base,10.0
Qwen/Qwen3-0.6B-Base,Tesslate/UIGEN-X-4B-0729,12.0
Qwen/Qwen3-0.6B-Base,abocide/Qwen2.5-7B-Instruct-R1-forfinance,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-Coder-7B,11.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-1.5B,10.0
Qwen/Qwen3-0.6B-Base,unsloth/Qwen2.5-1.5B,11.0
Qwen/Qwen3-0.6B-Base,PowerInfer/SmallThinker-3B-Preview,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2-0.5B,10.0
Qwen/Qwen3-0.6B-Base,allura-org/Koto-Small-7B-PT,
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2-7B-Instruct,11.0
Qwen/Qwen3-0.6B-Base,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2-0.5B-Instruct,11.0
Qwen/Qwen3-0.6B-Base,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,12.0
Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-Coder-0.5B,11.0
Qwen/Qwen3-1.7B,fluently/FluentlyQwen3-1.7B,1.0
Qwen/Qwen3-1.7B,janhq/Jan-v1-edge,1.0
Qwen/Qwen3-1.7B,dnotitia/Smoothie-Qwen3-1.7B,1.0
Qwen/Qwen3-1.7B,Qwen/Qwen3-4B,12.0
Qwen/Qwen3-1.7B,Qwen/Qwen3-0.6B,12.0
Qwen/Qwen3-1.7B,Tesslate/UIGEN-X-4B-0729,13.0
Qwen/Qwen3-1.7B,beyoru/Luna,
Qwen/Qwen3-1.7B,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,11.0
Qwen/Qwen3-1.7B,PowerInfer/SmallThinker-3B-Preview,13.0
Qwen/Qwen3-1.7B,Qwen/Qwen3-4B-Instruct-2507,11.0
Qwen/Qwen3-1.7B,Tesslate/WEBGEN-4B-Preview,12.0
Qwen/Qwen3-1.7B,Qwen/Qwen3-4B-Thinking-2507,11.0
Qwen/Qwen3-1.7B,Qwen/Qwen3-4B-Thinking-2507-FP8,12.0
Qwen/Qwen3-1.7B,janhq/Jan-v1-4B,12.0
Qwen/Qwen3-1.7B,huihui-ai/Huihui-Jan-v1-4B-abliterated,13.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-3B-Instruct,12.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-Coder-7B,12.0
Qwen/Qwen3-1.7B,DeepHat/DeepHat-V1-7B,13.0
Qwen/Qwen3-1.7B,unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,13.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-3B,11.0
Qwen/Qwen3-1.7B,Qwen/Qwen3-0.6B-Base,11.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-Coder-7B-Instruct,13.0
Qwen/Qwen3-1.7B,unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,13.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-Coder-1.5B-Instruct,13.0
Qwen/Qwen3-1.7B,Gensyn/Qwen2.5-1.5B-Instruct,12.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-1.5B-Instruct,12.0
Qwen/Qwen3-1.7B,unsloth/Qwen2.5-1.5B-Instruct,13.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-Coder-0.5B-Instruct,13.0
Qwen/Qwen3-1.7B,unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,12.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-Coder-0.5B,12.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-7B,11.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-0.5B,11.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-1.5B,11.0
Qwen/Qwen3-1.7B,unsloth/Qwen2.5-1.5B,12.0
Qwen/Qwen3-1.7B,nvidia/OpenReasoning-Nemotron-1.5B,12.0
Qwen/Qwen3-1.7B,allura-org/Koto-Small-7B-PT,
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-0.5B-Instruct,12.0
Qwen/Qwen3-1.7B,unsloth/Qwen2.5-0.5B-Instruct,13.0
Qwen/Qwen3-1.7B,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,12.0
Qwen/Qwen3-1.7B,Qwen/Qwen2.5-Coder-1.5B,12.0
Qwen/Qwen3-1.7B-Base,SakanaAI/TinySwallow-1.5B,12.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-4B-Base,10.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-3B,10.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-1.5B,10.0
Qwen/Qwen3-1.7B-Base,unsloth/Qwen2.5-1.5B,11.0
Qwen/Qwen3-1.7B-Base,unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,11.0
Qwen/Qwen3-1.7B-Base,XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-Coder-0.5B,11.0
Qwen/Qwen3-1.7B-Base,Gensyn/Qwen2.5-1.5B-Instruct,11.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-1.5B-Instruct,11.0
Qwen/Qwen3-1.7B-Base,unsloth/Qwen2.5-1.5B-Instruct,12.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-Coder-1.5B,11.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-Coder-7B,11.0
Qwen/Qwen3-1.7B-Base,fluently/FluentlyQwen3-1.7B,2.0
Qwen/Qwen3-1.7B-Base,unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,12.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-1.7B,1.0
Qwen/Qwen3-1.7B-Base,unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,12.0
Qwen/Qwen3-1.7B-Base,janhq/Jan-v1-edge,2.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-7B,10.0
Qwen/Qwen3-1.7B-Base,beyoru/Luna,
Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-4B-Instruct-2507,10.0
Qwen/Qwen3-1.7B-Base,dnotitia/Smoothie-Qwen3-1.7B,2.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-3B-Instruct,11.0
Qwen/Qwen3-1.7B-Base,Tesslate/WEBGEN-4B-Preview,11.0
Qwen/Qwen3-1.7B-Base,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,10.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-0.5B,10.0
Qwen/Qwen3-1.7B-Base,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,11.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2.5-7B-Instruct-1M,11.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-0.6B-Base,10.0
Qwen/Qwen3-1.7B-Base,janhq/Jan-v1-4B,11.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-4B-Thinking-2507,10.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-4B-Thinking-2507-FP8,11.0
Qwen/Qwen3-1.7B-Base,allura-org/Koto-Small-7B-PT,
Qwen/Qwen3-1.7B-Base,huihui-ai/Huihui-Jan-v1-4B-abliterated,12.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-0.6B,11.0
Qwen/Qwen3-1.7B-Base,arcee-ai/Meraj-Mini,12.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2-7B,10.0
Qwen/Qwen3-1.7B-Base,PowerInfer/SmallThinker-3B-Preview,12.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-4B,11.0
Qwen/Qwen3-1.7B-Base,Jurema-br/Jurema-7B,12.0
Qwen/Qwen3-1.7B-Base,nvidia/OpenReasoning-Nemotron-1.5B,11.0
Qwen/Qwen3-1.7B-Base,abocide/Qwen2.5-7B-Instruct-R1-forfinance,12.0
Qwen/Qwen3-1.7B-Base,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,12.0
Qwen/Qwen3-1.7B-Base,Tesslate/UIGEN-X-4B-0729,12.0
Qwen/Qwen3-1.7B-Base,Qwen/Qwen2-7B-Instruct,11.0
Qwen/Qwen3-1.7B-Base,DeepHat/DeepHat-V1-7B,12.0
Qwen/Qwen3-1.7B-Base,nvidia/OpenCodeReasoning-Nemotron-7B,12.0
Qwen/Qwen3-4B,Tesslate/UIGEN-X-4B-0729,1.0
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Thinking-2507,11.0
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Thinking-2507-FP8,12.0
Qwen/Qwen3-4B,janhq/Jan-v1-4B,12.0
Qwen/Qwen3-4B,huihui-ai/Huihui-Jan-v1-4B-abliterated,13.0
Qwen/Qwen3-4B,Tesslate/WEBGEN-4B-Preview,12.0
Qwen/Qwen3-4B,beyoru/Luna,
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Instruct-2507,11.0
Qwen/Qwen3-4B,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,11.0
Qwen/Qwen3-4B,Qwen/Qwen3-1.7B,12.0
Qwen/Qwen3-4B,janhq/Jan-v1-edge,13.0
Qwen/Qwen3-4B,fluently/FluentlyQwen3-1.7B,13.0
Qwen/Qwen3-4B,dnotitia/Smoothie-Qwen3-1.7B,13.0
Qwen/Qwen3-4B,Qwen/Qwen3-0.6B,12.0
Qwen/Qwen3-4B,PowerInfer/SmallThinker-3B-Preview,13.0
Qwen/Qwen3-4B,DeepHat/DeepHat-V1-7B,13.0
Qwen/Qwen3-4B,Qwen/Qwen2.5-3B-Instruct,12.0
Qwen/Qwen3-4B,unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,13.0
Qwen/Qwen3-4B,Qwen/Qwen2.5-0.5B,11.0
Qwen/Qwen3-4B-Base,SakanaAI/TinySwallow-1.5B,12.0
Qwen/Qwen3-4B-Base,Qwen/Qwen3-1.7B-Base,10.0
Qwen/Qwen3-4B-Base,XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,10.0
Qwen/Qwen3-4B-Base,Qwen/Qwen2.5-Coder-1.5B,11.0
Qwen/Qwen3-4B-Base,beyoru/Luna,
