model,base_model,cluster_family,n_outliers,n_loosely_related_in_outliers,n_loosely_related_in_universe,precision_outliers_vs_loose,recall_loose_in_universe_captured,loosely_related_outliers,loosely_related_in_universe_not_in_outliers
Qwen/Qwen1.5-0.5B-Chat,,Qwen,3,3,62,1.0,0.048387,Qwen/Qwen2-0.5B-Instruct | Qwen/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-0.5B | Qwen/Qwen2-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Tesslate/WEBGEN-4B-Preview | Writer/palmyra-mini | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen1.5-4B-Chat,,Qwen,0,0,62,,0.0,,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen2-0.5B | Qwen/Qwen2-0.5B-Instruct | Qwen/Qwen2-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Tesslate/WEBGEN-4B-Preview | Writer/palmyra-mini | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2-0.5B,,Qwen,1,1,62,1.0,0.016129,Qwen/Qwen2-0.5B-Instruct,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Tesslate/WEBGEN-4B-Preview | Writer/palmyra-mini | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,Qwen,1,1,62,1.0,0.016129,Qwen/Qwen2-0.5B,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Tesslate/WEBGEN-4B-Preview | Writer/palmyra-mini | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2-7B,,Qwen,15,14,62,0.933333,0.225806,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-1.5B-Instruct | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-0.5B | Qwen/Qwen2-0.5B-Instruct | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Tesslate/WEBGEN-4B-Preview | Writer/palmyra-mini | continuedev/instinct | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,Qwen,16,15,62,0.9375,0.241935,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2-7B | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | unsloth/Qwen2.5-0.5B-Instruct,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-1.5B-Instruct | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-0.5B | Qwen/Qwen2-0.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Tesslate/WEBGEN-4B-Preview | Writer/palmyra-mini | continuedev/instinct | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-0.5B,,Qwen,9,9,62,1.0,0.145161,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-7B | unsloth/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-0.5B | Qwen/Qwen2-0.5B-Instruct | Qwen/Qwen2-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Tesslate/WEBGEN-4B-Preview | Writer/palmyra-mini | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,Qwen,2,2,62,1.0,0.032258,Qwen/Qwen2.5-0.5B | unsloth/Qwen2.5-0.5B-Instruct,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-0.5B | Qwen/Qwen2-0.5B-Instruct | Qwen/Qwen2-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Tesslate/WEBGEN-4B-Preview | Writer/palmyra-mini | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-1.5B,,Qwen,24,22,62,0.916667,0.354839,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | Gensyn/Qwen2.5-1.5B-Instruct | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B-Instruct-2507 | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/WEBGEN-4B-Preview | janhq/Jan-v1-4B | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-0.5B | Qwen/Qwen2-0.5B-Instruct | Qwen/Qwen2-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-1.7B | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Tesslate/UIGEN-X-4B-0729 | Writer/palmyra-mini | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-edge | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,Qwen,16,15,62,0.9375,0.241935,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen3-1.7B-Base | Qwen/Qwen3-4B-Instruct-2507 | Tesslate/WEBGEN-4B-Preview | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen1.5-0.5B-Chat | Qwen/Qwen1.5-4B-Chat | Qwen/Qwen2-0.5B | Qwen/Qwen2-0.5B-Instruct | Qwen/Qwen2-7B | Qwen/Qwen2-7B-Instruct | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-0.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | Qwen/Qwen3-0.6B | Qwen/Qwen3-0.6B-Base | Qwen/Qwen3-1.7B | Qwen/Qwen3-4B | Qwen/Qwen3-4B-Base | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | SakanaAI/TinySwallow-1.5B | Tesslate/UIGEN-X-4B-0729 | Writer/palmyra-mini | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B | janhq/Jan-v1-edge | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
