model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
SakanaAI/TinySwallow-1.5B,16,16,9,7,XiaomiMiMo/MiMo-7B-Base | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | aisingapore/Llama-SEA-LION-v3-8B | dphn/Dolphin3.0-Llama3.1-8B | nvidia/OpenMath2-Llama3.1-8B,5.555556
SciPhi/SciPhi-Mistral-7B-32k,31,31,8,23,shadowml/WestBeagle-7B | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | mlabonne/Beagle14-7B | Nexusflow/Starling-LM-7B-beta | mlabonne/NeuralBeagle14-7B | berkeley-nest/Starling-LM-7B-alpha | fblgit/UNA-TheBeagle-7b-v1 | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/OmniBeagle-7B | mlabonne/Marcoro14-7B-slerp | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare | CultriX/NeuralTrix-bf16 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,10.75
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | Nexusflow/Starling-LM-7B-beta | fblgit/UNA-TheBeagle-7b-v1 | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | berkeley-nest/Starling-LM-7B-alpha | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,10.75
Tesslate/UIGEN-X-4B-0729,18,18,17,1,beyoru/Luna,12.529412
Tesslate/WEBGEN-4B-Preview,12,12,11,1,beyoru/Luna,10.909091
TheOneWhoWill/Bootstrap-LLM,3,3,0,3,PygmalionAI/pygmalion-2.7b | KoboldAI/GPT-Neo-2.7B-Horni-LN | EleutherAI/gpt-neo-1.3B,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,11,11,4,7,FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5 | PharMolix/BioMedGPT-LM-7B | AdaptLLM/medicine-LLM,10.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,11,11,4,7,FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5-16k | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.5 | AdaptLLM/medicine-LLM,10.0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,11,11,4,7,FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5 | AdaptLLM/medicine-LLM,10.0
TinyLlama/TinyLlama_v1.1,7,7,1,6,lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM | FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5,10.0
TinyLlama/TinyLlama_v1.1_math_code,11,11,4,7,lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-chemical | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM,10.0
Writer/palmyra-mini,32,32,31,1,beyoru/Luna,9.225806
XiaomiMiMo/MiMo-7B-Base,2,2,2,0,,1.5
abocide/Qwen2.5-7B-Instruct-R1-forfinance,12,12,12,0,,3.833333
acon96/Home-Llama-3.2-3B,25,25,7,18,unsloth/Meta-Llama-3.1-8B-Instruct | meta-llama/Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | allenai/llama-3.1-tulu-2-8b | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | gradientai/Llama-3-8B-Instruct-262k | S4nfs/Neeto-1.0-8b | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | HuggingFaceTB/SmolLM3-3B | allenai/Llama-3.1-Tulu-3-8B-SFT | HuggingFaceTB/SmolLM3-3B-Base,4.571429
adamo1139/Apertus-8B-Instruct-2509-ungated,10,10,1,9,bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8,1.0
aisingapore/Llama-SEA-LION-v3-8B,26,26,13,13,gradientai/Llama-3-8B-Instruct-262k | S4nfs/Neeto-1.0-8b | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | acon96/Home-Llama-3.2-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base,2.692308
allenai/Llama-3.1-Tulu-3-8B-SFT,19,19,14,5,elyza/Llama-3-ELYZA-JP-8B | S4nfs/Neeto-1.0-8b | gradientai/Llama-3-8B-Instruct-262k | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B,2.214286
allenai/OLMoE-1B-7B-0924,4,4,0,4,EleutherAI/pythia-1.4b | EleutherAI/pythia-2.8b | EleutherAI/pythia-1b | EleutherAI/pythia-6.9b,
allenai/llama-3.1-tulu-2-8b,26,26,14,12,gradientai/Llama-3-8B-Instruct-262k | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | S4nfs/Neeto-1.0-8b | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | HuggingFaceTB/SmolLM3-3B-Base,2.214286
allura-org/Koto-Small-7B-PT,4,4,2,2,Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-7B,1.0
arcee-ai/Llama-3.1-SuperNova-Lite,22,22,13,9,gradientai/Llama-3-8B-Instruct-262k | elyza/Llama-3-ELYZA-JP-8B | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,2.692308
arcee-ai/Meraj-Mini,12,12,12,0,,3.833333
argilla/distilabeled-Marcoro14-7B-slerp,31,31,1,30,mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | AiMavenAi/AiMaven-Prometheus | shadowml/BeagSake-7B | fblgit/UNA-TheBeagle-7b-v1 | shadowml/WestBeagle-7B | shadowml/BeagleSempra-7B | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/OmniBeagle-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | kevin009/llamaRAGdrama | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,1.0
askfjhaskjgh/UbermenschetienASI,26,26,14,12,gradientai/Llama-3-8B-Instruct-262k | elyza/Llama-3-ELYZA-JP-8B | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | acon96/Home-Llama-3.2-3B | HuggingFaceTB/SmolLM3-3B-Base,3.0
augmxnt/shisa-base-7b-v1,0,0,0,0,,
bardsai/jaskier-7b-dpo-v5.6,36,36,0,36,CultriX/NeuralTrix-7B-dpo | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | mlabonne/NeuralBeagle14-7B | mlabonne/Beagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | fblgit/UNA-TheBeagle-7b-v1 | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B | kevin009/llamaRAGdrama | argilla/distilabeled-Marcoro14-7B-slerp | FelixChao/Sectumsempra-7B-DPO | mlabonne/Marcoro14-7B-slerp | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1 | FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical,
berkeley-nest/Starling-LM-7B-alpha,31,31,0,31,Nexusflow/Starling-LM-7B-beta | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | shadowml/BeagSake-7B | mlabonne/Beagle14-7B | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | shadowml/WestBeagle-7B | FelixChao/Sectumsempra-7B-DPO | shadowml/BeagleSempra-7B | mlabonne/NeuralBeagle14-7B | CorticalStack/pastiche-crown-clown-7b-dare | fblgit/UNA-TheBeagle-7b-v1 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/OmniBeagle-7B | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | kevin009/llamaRAGdrama | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | HuggingFaceH4/zephyr-7b-beta | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,
beruniy/Llama-3.2-3B-Instruct-Uz,18,18,8,10,elyza/Llama-3-ELYZA-JP-8B | aisingapore/Llama-SEA-LION-v3-8B | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | arcee-ai/Llama-3.1-SuperNova-Lite | meta-llama/Llama-Guard-3-8B | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI,5.5
beyoru/Luna,10,10,0,10,Qwen/Qwen3-4B-Instruct-2507 | Tesslate/WEBGEN-4B-Preview | DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B | Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | janhq/Jan-v1-4B | huihui-ai/Huihui-Jan-v1-4B-abliterated | Qwen/Qwen3-4B | Tesslate/UIGEN-X-4B-0729 | Qwen/Qwen2.5-3B,
bigcode/starcoder2-3b,0,0,0,0,,
bigscience/bloom-560m,10,10,2,8,adamo1139/Apertus-8B-Instruct-2509-ungated | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,10.0
bigscience/bloomz-1b1,10,10,2,8,adamo1139/Apertus-8B-Instruct-2509-ungated | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,10.0
bigscience/bloomz-1b7,1,1,0,1,google/gemma-2b-it,
bigscience/bloomz-560m,10,10,2,8,adamo1139/Apertus-8B-Instruct-2509-ungated | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,10.0
bxod/Llama-3.2-1B-Instruct-uz,21,21,8,13,aisingapore/Llama-SEA-LION-v3-8B | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | microsoft/UserLM-8b | unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | HuggingFaceTB/SmolLM3-3B-Base | allenai/llama-3.1-tulu-2-8b | dphn/Dolphin3.0-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | askfjhaskjgh/UbermenschetienASI,9.25
chatitcloud/UZI1,11,11,4,7,adamo1139/Apertus-8B-Instruct-2509-ungated | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-560m | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7,8.75
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,27,27,14,13,gradientai/Llama-3-8B-Instruct-262k | S4nfs/Neeto-1.0-8b | elyza/Llama-3-ELYZA-JP-8B | acon96/Home-Llama-3.2-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base,2.214286
continuedev/instinct,3,3,3,0,,1.666667
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,13,13,13,0,,3.846154
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,27,27,0,27,allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | gradientai/Llama-3-8B-Instruct-262k | nvidia/OpenMath2-Llama3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | aisingapore/Llama-SEA-LION-v3-8B | elyza/Llama-3-ELYZA-JP-8B | askfjhaskjgh/UbermenschetienASI | S4nfs/Neeto-1.0-8b | NousResearch/Hermes-3-Llama-3.1-8B | inference-net/Schematron-3B | allenai/Llama-3.1-Tulu-3-8B-SFT | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | acon96/Home-Llama-3.2-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | meta-llama/Llama-Guard-3-8B | HuggingFaceTB/SmolLM3-3B-Base | HuggingFaceTB/SmolLM3-3B,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,15,15,15,0,,11.2
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,13,13,0,,11.307692
deepseek-ai/deepseek-coder-1.3b-base,0,0,0,0,,
dicta-il/dictalm2.0,31,31,0,31,Nexusflow/Starling-LM-7B-beta | mlabonne/Marcoro14-7B-slerp | shadowml/WestBeagle-7B | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/BeagSake-7B | HuggingFaceH4/zephyr-7b-beta | mlabonne/Beagle14-7B | mistralai/Mistral-7B-v0.1 | shadowml/BeagleSempra-7B | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/NeuralBeagle14-7B | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/OmniBeagle-7B | berkeley-nest/Starling-LM-7B-alpha | FelixChao/Sectumsempra-7B-DPO | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | BioMistral/BioMistral-7B | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | SciPhi/SciPhi-Mistral-7B-32k | CultriX/NeuralTrix-bf16 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | kevin009/llamaRAGdrama | BioMistral/BioMistral-7B-DARE | Intel/neural-chat-7b-v3-1 | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2,
dnotitia/Smoothie-Qwen3-1.7B,4,4,4,0,,4.5
dphn/Dolphin3.0-Llama3.1-8B,24,24,13,11,gradientai/Llama-3-8B-Instruct-262k | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | S4nfs/Neeto-1.0-8b | elyza/Llama-3-ELYZA-JP-8B | inference-net/Schematron-3B | HuggingFaceTB/SmolLM3-3B-Base | acon96/Home-Llama-3.2-3B | HuggingFaceTB/SmolLM3-3B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,2.230769
elyza/Llama-3-ELYZA-JP-8B,27,27,0,27,gradientai/Llama-3-8B-Instruct-262k | microsoft/UserLM-8b | allenai/llama-3.1-tulu-2-8b | S4nfs/Neeto-1.0-8b | NousResearch/Hermes-3-Llama-3.1-8B | askfjhaskjgh/UbermenschetienASI | aisingapore/Llama-SEA-LION-v3-8B | arcee-ai/Llama-3.1-SuperNova-Lite | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | nvidia/OpenMath2-Llama3.1-8B | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | meta-llama/Llama-Guard-3-8B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | inference-net/Schematron-3B | HuggingFaceTB/SmolLM3-3B-Base | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | HuggingFaceTB/SmolLM3-3B | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,31,31,0,31,CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | mlabonne/OmniBeagle-7B | CultriX/NeuralTrix-7B-dpo | AiMavenAi/AiMaven-Prometheus | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | flemmingmiguel/MBX-7B-v3 | shadowml/WestBeagle-7B | CultriX/NeuralTrix-bf16 | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,
fblgit/UNA-TheBeagle-7b-v1,31,31,7,24,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare | flemmingmiguel/MBX-7B-v3 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,3.714286
flemmingmiguel/MBX-7B-v3,31,31,0,31,AiMavenAi/AiMaven-Prometheus | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/NeuralBeagle14-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/Beagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B | argilla/distilabeled-Marcoro14-7B-slerp | CorticalStack/pastiche-crown-clown-7b-dare-dpo | mlabonne/Marcoro14-7B-slerp | mlabonne/OmniBeagle-7B | kevin009/llamaRAGdrama | FelixChao/Sectumsempra-7B-DPO | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2 | dicta-il/dictalm2.0,
fluently/FluentlyQwen3-1.7B,7,7,6,1,beyoru/Luna,7.5
google/gemma-2-2b-it,3,3,3,0,,4.0
google/gemma-2-2b-jpn-it,3,3,3,0,,4.666667
google/gemma-2b-it,3,3,3,0,,10.666667
google/gemma-3-1b-it,0,0,0,0,,
google/gemma-3-1b-pt,11,11,4,7,adamo1139/Apertus-8B-Instruct-2509-ungated | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-560m | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7,10.5
google/gemma-3-270m,11,11,4,7,adamo1139/Apertus-8B-Instruct-2509-ungated | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7 | bigscience/bloom-560m,8.0
google/gemma-3-4b-it,10,10,4,6,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,8.75
google/gemma-3-4b-pt,10,10,4,6,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,8.0
